Размер матриц (элементов),Классический,Винограда,Винограда (опт.),Штрассена
1, 3, 5, 9, 4
2, 12, 16, 20, 8
3, 27, 33, 37, 16
4, 48, 54, 58, 16
5, 75, 81, 85, 32
6, 108, 114, 118, 32
7, 147, 153, 157, 32
8, 192, 198, 202, 32
9, 243, 249, 253, 64
10, 300, 306, 310, 64
