Кол-во вершин (штук),Алгоритм полного перебора,Муравьиный алгоритм
2,0.00029080000001435735,0.00171159999999837
3,0.0006519999999881065,0.0038287000000014615
4,0.0024117000000050126,0.007501099999995375
5,0.012363399999980373,0.012510799999992273
6,0.07735010000001452,0.02078899999999173
7,0.686344699999994,0.04080569999999106
8,5.459481699999992,0.04437870000001354
9,53.39066370000005,0.05954959999998266
10,579.4250306000002,0.1051672000006647
