Размер текста,Размер паттерна,Стандартный,КМП
256,100,2.2900999999997394e-05,3.344700000010192e-05
512,100,5.5178999999867525e-05,6.187800000001075e-05
1024,100,0.00010958500000000981,0.00010843300000004774
2048,100,0.00021716100000004345,0.00020934899999994983
4096,100,0.0004566200000001075,0.0004139510000001501
8192,100,0.0008883950000000951,0.0008382120000001692
16384,100,0.0017768169999999729,0.0016876039999999648
32768,100,0.004021383000000096,0.003410005999999992
